"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"pred[44]",0.065079472469192,-3.27332e-07,-0.00311904193458041,90,0.95,-0.0029323,0.00519413,NA,NA,NA,NA,NA,NA,NA
"pred[45]",0.065336585084218,1.36472e-05,-0.00235777540753947,97.3,0.95,-0.00217385,0.00587782,NA,NA,NA,NA,NA,NA,NA
"pred[46]",0.011446651360546,-5.162795e-06,-0.000484947266166554,77.4,0.95,-0.00186713,0.000342055,NA,NA,NA,NA,NA,NA,NA
"pred[47]",-0.0487201953292906,-1.51816e-05,0.000959107371547311,90.7,0.95,-0.00803994,0.000782774,NA,NA,NA,NA,NA,NA,NA
"pred[48]",0.02097539091816,4.677995e-06,-0.000657647894842504,92.2,0.95,-0.000527691,0.0028619,NA,NA,NA,NA,NA,NA,NA
"pred[49]",0.060508673700336,1.164445e-05,-0.0015777758777017,93.6,0.95,-0.00144209,0.00705155,NA,NA,NA,NA,NA,NA,NA
"pred[50]",0.0074256330190612,8.795395e-06,-0.00043820236496187,78.4,0.95,-0.000334445,0.00296862,NA,NA,NA,NA,NA,NA,NA
"pred[51]",-0.01626453594228,-5.04776e-06,0.000167721505895724,91.1,0.95,-0.000552552,0.0033856,NA,NA,NA,NA,NA,NA,NA
"pred[52]",1.99442816,1.99999,2.00004709708921,201.9,0.95,1.99933,2.00461,NA,NA,NA,NA,NA,NA,NA
"pred[53]",-0.036847251038408,-5.65526e-06,0.00238506420996499,89.6,0.95,-0.00138325,0.00222759,NA,NA,NA,NA,NA,NA,NA
"pred[54]",0.029197664078066,5.19249e-06,-0.000579426965560586,119.5,0.95,-0.000459689,0.00337832,NA,NA,NA,NA,NA,NA,NA
"pred[55]",-0.019947385239702,5.72357e-06,0.000560307753577424,93.9,0.95,-0.00240987,0.000453807,NA,NA,NA,NA,NA,NA,NA
"pred[56]",0.01685196206755,1.180745e-05,-0.000526316055038326,127.8,0.95,-0.000434322,0.000352077,NA,NA,NA,NA,NA,NA,NA
"pred[57]",0.00323381271295,-3.594775e-06,-0.000146598318152398,66.2,0.95,-0.000628605,0.00992356,NA,NA,NA,NA,NA,NA,NA
"pred[58]",-0.008922536747692,-6.982135e-06,0.00057639658170805,197.3,0.95,-0.000561963,0.00503531,NA,NA,NA,NA,NA,NA,NA
"pred[59]",0.009065697265835,9.707985e-06,0.000775703854048461,103.3,0.95,-0.00056203,0.00739769,NA,NA,NA,NA,NA,NA,NA
"pred[60]",-0.0141283363831295,-1.380775e-06,0.00110211574457679,132.8,0.95,-0.000496642,0.000738684,NA,NA,NA,NA,NA,NA,NA
"pred[61]",-0.05223741207169,-2.20662e-05,0.000835730728830828,99.6,0.95,-0.00714958,0.000732581,NA,NA,NA,NA,NA,NA,NA
"pred[62]",-0.01087558582839,-1.14172e-05,0.00106656173724051,175.8,0.95,-0.000445169,0.00133717,NA,NA,NA,NA,NA,NA,NA
"pred[63]",0.024009471970488,4.31735e-08,0.000127047330521392,101.4,0.95,-0.00319477,0.00039894,NA,NA,NA,NA,NA,NA,NA
"pred[64]",0.94316338,1.00001,0.997508990416842,107.1,0.95,0.999295,1.00571,NA,NA,NA,NA,NA,NA,NA
"pred[65]",-0.03750540469586,-1.90564e-05,0.000583096032052093,105,0.95,-0.00767764,0.000463717,NA,NA,NA,NA,NA,NA,NA
"pred[66]",-0.009844850590096,2.922775e-06,0.000701907399796917,115.4,0.95,-0.00217944,0.000546599,NA,NA,NA,NA,NA,NA,NA
"pred[67]",-0.081432564376908,-2.808955e-05,0.00111379380240889,96.5,0.95,-0.0128329,0.000945167,NA,NA,NA,NA,NA,NA,NA
"pred[68]",-0.01859336824905,-1.37329e-05,0.000460215381394011,94.4,0.95,-0.00308828,0.000350451,NA,NA,NA,NA,NA,NA,NA
"pred[69]",0.99545399,0.999991,1.00005601602974,135.9,0.95,0.999348,1.00071,NA,NA,NA,NA,NA,NA,NA
"pred[70]",0.0222745166067396,4.5567e-06,-0.000748456458402109,85.6,0.95,-0.000629588,0.00359217,NA,NA,NA,NA,NA,NA,NA
"pred[71]",0.02185252390246,-1.010205e-05,-0.000669271858814475,72.8,0.95,-0.00053694,0.00851881,NA,NA,NA,NA,NA,NA,NA
"pred[72]",-0.0734942278484296,-2.45618e-06,0.00298784559298841,101.7,0.95,-0.00436537,0.00286501,NA,NA,NA,NA,NA,NA,NA
"pred[73]",-0.046895183089238,-4.84259e-06,0.0019530020570678,94.8,0.95,-0.00521905,0.00181266,NA,NA,NA,NA,NA,NA,NA
"pred[74]",-0.050456518421862,-2.533245e-05,0.000535466791420725,107,0.95,-0.0146737,0.00041019,NA,NA,NA,NA,NA,NA,NA
"pred[75]",-0.008494138686483,-2.26036e-06,-0.000548467784187712,78.1,0.95,-0.00140983,0.000406541,NA,NA,NA,NA,NA,NA,NA
"pred[76]",2.98699286,2.99996,2.99851441746984,130.1,0.95,2.99918,3.00082,NA,NA,NA,NA,NA,NA,NA
"pred[77]",-0.020533030220952,-5.760395e-06,0.000410659816538971,108.5,0.95,-0.00152557,0.000318849,NA,NA,NA,NA,NA,NA,NA
"pred[78]",0.021449884230746,1.725785e-05,-0.00062201669791922,112,0.95,-0.000487127,0.00513706,NA,NA,NA,NA,NA,NA,NA
"pred[79]",0.01286768822238,-4.081595e-06,0.000927667397166553,93.6,0.95,-0.00573186,0.000432422,NA,NA,NA,NA,NA,NA,NA
"pred[80]",-0.046919542377034,-1.32915e-05,0.00124166755860049,88,0.95,-0.00701037,0.00111714,NA,NA,NA,NA,NA,NA,NA
"pred[81]",0.982740996,0.999995,1.00050713626117,145.1,0.95,0.999172,1.00606,NA,NA,NA,NA,NA,NA,NA
"pred[82]",0.020882896034486,-3.676595e-06,-0.000992274114425444,111.6,0.95,-0.000524355,0.000920709,NA,NA,NA,NA,NA,NA,NA
"pred[83]",0.009195040555042,3.816105e-06,0.000172135961056649,107.9,0.95,-0.00190735,0.000466404,NA,NA,NA,NA,NA,NA,NA
"pred[84]",2.0518317,2,1.99727070084947,105.5,0.95,1.99748,2.00238,NA,NA,NA,NA,NA,NA,NA
"pred[85]",-0.011110065734756,-1.312565e-06,0.000450763273652122,145.3,0.95,-0.000345356,0.00258178,NA,NA,NA,NA,NA,NA,NA
"pred[86]",0.007970313466538,2.459055e-06,0.000489643712827002,110.2,0.95,-0.000669986,0.000348351,NA,NA,NA,NA,NA,NA,NA
"pred[87]",-0.0180139636536644,-3.50504e-06,0.000513271592776426,118.6,0.95,-0.00195139,0.000406902,NA,NA,NA,NA,NA,NA,NA
"pred[88]",-0.028957551616264,-7.1135e-09,0.000547322312696887,91.6,0.95,-0.00418489,0.000466181,NA,NA,NA,NA,NA,NA,NA
"pred[89]",-0.008980635448508,5.00413e-06,-0.000502292727322273,84.8,0.95,-0.000359665,0.00150239,NA,NA,NA,NA,NA,NA,NA
"pred[90]",2.99603338,2.99998,2.99989793578891,79.7,0.95,2.9986,3.0009,NA,NA,NA,NA,NA,NA,NA
"pred[91]",-0.032921154330468,4.626935e-07,-0.00257992081119474,106,0.95,-0.000539107,0.00272153,NA,NA,NA,NA,NA,NA,NA
"pred[92]",-0.017937697041024,-7.143145e-06,0.000975496134490719,99.7,0.95,-0.000808092,0.000883374,NA,NA,NA,NA,NA,NA,NA
"pred[93]",-0.025846991223102,-2.437005e-05,0.000487486735556261,107.8,0.95,-0.00549819,0.000368492,NA,NA,NA,NA,NA,NA,NA
"pred[94]",0.0188607125263,4.09611e-05,-0.00111723658020263,107.4,0.95,-0.000881456,0.00264267,NA,NA,NA,NA,NA,NA,NA
"pred[95]",-0.053439180709098,-2.014535e-05,0.000632256414955827,111.5,0.95,-0.00790986,0.000484271,NA,NA,NA,NA,NA,NA,NA
"pred[96]",0.03496862146832,1.17534e-05,-0.000940332931418556,89.3,0.95,-0.000730004,0.00991344,NA,NA,NA,NA,NA,NA,NA
"pred[97]",-0.01452612093002,-1.713185e-05,0.000766497278458069,113,0.95,-0.00119374,0.00060434,NA,NA,NA,NA,NA,NA,NA
"pred[98]",0.01589477581584,4.770515e-06,-0.000596203553653824,82.8,0.95,-0.000459469,0.00707073,NA,NA,NA,NA,NA,NA,NA
"pred[99]",-0.052101939586946,-2.0761e-05,0.000562522884620735,105.3,0.95,-0.0175284,0.000437641,NA,NA,NA,NA,NA,NA,NA
"pred[100]",0.00259572694298,1.278355e-05,0.000300916849374222,134.7,0.95,-0.000700208,0.00245854,NA,NA,NA,NA,NA,NA,NA
"pred[101]",0.015158412628406,1.0425e-05,-0.000577947170979533,105,0.95,-0.000460636,0.00378161,NA,NA,NA,NA,NA,NA,NA
"pred[102]",-0.023613834168582,-8.79545e-06,0.000488238297539875,77.5,0.95,-0.00596379,0.000390576,NA,NA,NA,NA,NA,NA,NA
"pred[103]",-0.01084745027207,-3.43894e-05,0.000743179838301098,97.8,0.95,-0.00333153,0.000591866,NA,NA,NA,NA,NA,NA,NA
"pred[104]",2.06610536,1.99999,1.99663000379242,103,0.95,1.99688,2.0035,NA,NA,NA,NA,NA,NA,NA
"pred[105]",-0.0138552283094366,-9.70652e-06,-0.00155550504284685,129.5,0.95,-0.000826776,0.00193841,NA,NA,NA,NA,NA,NA,NA
"pred[106]",-0.017683251595868,-1.502695e-05,0.000404711918613885,88,0.95,-0.0074143,0.000310815,NA,NA,NA,NA,NA,NA,NA
"pred[107]",0.0156126087361,2.38805e-05,-0.00126194402994536,131.4,0.95,-0.000772839,0.000938531,NA,NA,NA,NA,NA,NA,NA
"pred[108]",-0.074725730634618,-7.18872e-06,-0.00493872662969697,100.4,0.95,-0.000506466,0.00780141,NA,NA,NA,NA,NA,NA,NA
"pred[109]",-0.0414829271276598,7.091505e-08,0.00184850767495522,110.4,0.95,-0.00132738,0.00171632,NA,NA,NA,NA,NA,NA,NA
"pred[110]",-0.025441114966856,-9.50055e-06,0.000938807590825907,107.5,0.95,-0.00228189,0.000773863,NA,NA,NA,NA,NA,NA,NA
"pred[111]",-0.0407333059746,-1.287015e-05,-0.00269444058465629,104.3,0.95,-0.000993588,0.00345309,NA,NA,NA,NA,NA,NA,NA
"pred[112]",-0.017709517848468,-1.136365e-05,-0.0011106455573513,83.3,0.95,-0.00225267,0.00100708,NA,NA,NA,NA,NA,NA,NA
"pred[113]",0.03503450186666,1.63334e-05,-0.00158154102078907,101.6,0.95,-0.00145912,0.00188054,NA,NA,NA,NA,NA,NA,NA
