"Name.Id","Brownlow.Votes"
"Fisher, Zac, 2017703824",0
"McDonald, Oscar, 2015775369",0
"Newnes, Jack, 2012787112",0
"OBrien, Lochie, 2018794004",0
"Petrevski-Seton, Sam, 2017803423",0
"Williamson, Tom, 2017878987",0
"Caddy, Josh, 2011679683",0
"Edwards, Shane, 2007699633",0
"Cox, Mason, 2016678001",0
"Henry, Oliver, 2021729247",0
"Howe, Jeremy, 2011725789",0
"Madgen, Jack, 2018779988",0
"Ruscoe, Trey, 2020829408",0
"Sier, Brayden, 2018833083",0
"Gardner, Ryan, 2019719435",0
"Lipinski, Patrick, 2017765014",0
"Martin, Stefan, 2008772670",0
"Vandermeer, Laitham, 2020867730",0
"Wallis, Mitch, 2011872415",0
"West, Rhylee, 2019871174",0
"Conca, Reece, 2011678952",0
"Giro, Stefan, 2018711847",0
"Hamling, Joel, 2015725767",0
"Hughes, Ethan, 2015723338",0
"Meek, Lloyd, 2021775615",0
"Pearce, Alex, 2015804220",0
"Young, Hayden, 2020891340",0
"Chandler, Kade, 2019677190",0
"Jones, Nathan, 2006749514",0
"Tomlinson, Adam, 2012848079",0
"Frampton, Billy, 2018703883",0
"Hamill, Will, 2020728148",0
"Hinge, Mitch, 2019722465",0
"Lynch, Tom, 2010763943",0
"McPherson, Andrew, 2020772453",0
"Murphy, Lachlan, 2018774782",0
"Clark, Jordan, 2019674146",0
"Constable, Charlie, 2019679706",0
"Jenkins, Josh, 2012743763",0
"Miers, Gryan, 2019776865",0
"Stanley, Rhys, 2010834704",0
"Cahill, Ned, 2020677029",0
"Caldwell, Jye, 2019677166",0
"Cutler, Tom, 2014673527",0
"Shiel, Dylan, 2012834776",0
"Brockman, Tyler, 2021662446",0
"Burgoyne, Shaun, 2002669287",0
"Downie, Connor, 2021684041",0
"OBrien, Tim, 2014793667",0
"Shiels, Liam, 2009832661",0
"Berry, Jarrod, 2017669695",0
"Fullarton, Tom, 2020704278",0
"Lester, Ryan, 2011768267",0
"Payne, Jack, 2020806330",0
"Sharp, Harry, 2021838158",0
"Campbell, Braeden, 2021672027",0
"McDonald, Logan, 2021775073",0
"Reid, Sam, 2010829216",0
"Bonar, Aiden, 2018669246",0
"Corr, Aidan, 2013679173",0
"Polec, Jared, 2011803275",0
"Tyson, Dom, 2012844200",0
"Clurey, Tom, 2014672868",0
"Duursma, Xavier, 2019688399",0
"Fantasia, Orazio, 2014707339",0
"Lycett, Scott, 2011765875",0
"Rockliff, Tom, 2009824522",0
"Bruhn, Tanner, 2021661243",0
"Coniglio, Stephen, 2012675967",0
"Davis, Phil, 2010684139",0
"Keeffe, Lachlan, 2011752234",0
"Perryman, Harry, 2017805026",0
"de Boer, Matt, 20091002045",0
"Coffield, Nick, 2018671121",0
"Hunter, Paul, 2021729078",0
"Long, Ben, 2017766216",0
"McKenzie, Daniel, 2015776577",0
"Wood, Mason, 2014878237",0
"Bowes, Jack, 2017663348",0
"Brodie, Will, 2017664185",0
"Budarick, Connor, 2020666381",0
"Day, Sam, 2011685784",0
"Macpherson, Darcy, 2016775553",0
"Rowell, Matt, 2020827213",0
"Witts, Jarrod, 2013871743",0
"Duggan, Liam, 2015684385",0
"Langdon, Zac, 2018762677",0
"McGovern, Jeremy, 2014774094",0
"ONeill, Xavier, 2020793920",0
"Vardy, Nathan, 2011864351",0
"Butler, Louis, 2020668745",0
"Garcia, Riley, 2021712561",0
"Bianco, Trent, 2021663611",0
"Macrae, Finlay, 2021775741",0
"Holmes, Max, 2021723612",0
"Brown, Callum, 2021667039",0
"Clavarino, Oscar, 2021672637",0
"Zerk-Thatcher, Brandon, 2019904747",0
"Farrar, Jy, 2020702883",0
"Martin, Jack, 2014777536",0
"Brand, Kaiden, 2016668464",0
"McInerney, Justin, 2019779724",0
"Sinclair, Callum, 2013835249",0
"Taylor, Lewis, 2014848528",0
"Duman, Taylin, 2018682359",0
"Baker, Oskar, 2019665482",0
"Amartey, Joel, 2020651689",0
"Bell, James, 2019668572",0
"Lynch, Max, 2020769362",0
"Rantall, Jay, 2021824683",0
"Ambrose, Patrick, 2014655392",0
"Edwards, Luke, 2021698502",0
"Foley, Luke, 2020702375",0
"Woodcock, Boyd, 2020874600",0
"Newcombe, Jai, 2021789985",0
"Bewley, Brett, 2019662031",0
"Walker, Brandon, 2021872846",0
"Western, Joel, 2021879057",0
"Worrell, Josh, 2021873869",0
"Kennedy, Adam, 2012758114",0
"Stein, Jake, 2019837061",0
"Tarrant, Robbie, 2010848340",0
"Xerri, Tristan, 2020881875",0
"McLean, Toby, 2015771528",0
"Lienert, Jarrod, 2018764219",0
"McDonald, Luke, 2014771514",0
"Kennedy, Matthew, 2016756448",0
"Parks, Luke, 2021803509",0
"Briggs, Kieren, 2021665802",0
"Bramble, Lachlan, 2021668904",0
"Nash, Conor, 2018783190",0
"Mansell, Rhyan, 2021772303",0
"Ryan, Samson, 2021823551",0
"Connolly, Leo, 2021678301",0
"Ainsworth, Ben, 2017651121",0
